%Vec Object: 12 MPI processes
%  type: mpi
Vec_0x558036bba930_1 = [
-2.7391054254347757e-07 - 1.7587993499128222e-07i
-1.8591021675021482e-13 - 1.1937428531367735e-13i
-2.6774945552455368e-08 - 1.7192385657857135e-08i
-6.9766415099151470e-14 - 4.4797513067834593e-14i
-1.3652152437583720e-07 - 8.7661455485308827e-08i
-2.9197868803396125e-14 - 1.8748155369138076e-14i
-2.9137973029250613e-08 - 1.8709702644426582e-08i
3.1658018910266396e-13 + 2.0327843234306725e-13i
-1.7139546594943504e-06 - 1.1005426490365782e-06i
-1.6559651981731154e-06 - 1.0633071976639000e-06i
-1.4185300552057061e-06 - 9.1084837982514930e-07i
-9.6628060960232262e-07 - 6.2045574888086876e-07i
-4.5133330258065789e-07 - 2.8980436890147533e-07i
-9.0985160763959041e-08 - 5.8422227971701137e-08i
2.3270576714630459e-08 + 1.4942205151265802e-08i
1.2628258436974941e-07 + 8.1086958257389116e-08i
3.1228962197001896e-07 + 2.0052341870636908e-07i
5.4670113982096116e-07 + 3.5104074504945963e-07i
7.6117274979828149e-07 + 4.8875451272708232e-07i
8.9550136008390772e-07 + 5.7500788225832017e-07i
-8.7703393110146182e-07 - 5.6314981290937004e-07i
-9.4352625167211819e-07 - 6.0584501153439827e-07i
-1.0131449386837960e-06 - 6.5054767260061845e-07i
-1.0338877521881169e-06 - 6.6386678276263713e-07i
-9.9639174317964564e-07 - 6.3979032493229353e-07i
-9.4430053467312410e-07 - 6.0634218423400836e-07i
2.9475772095880511e-06 + 1.8926605861539835e-06i
2.8478486768165822e-06 + 1.8286241759531932e-06i
2.4395179300378587e-06 + 1.5664320582949925e-06i
1.6617668251209128e-06 + 1.0670324641721835e-06i
7.7617331381466300e-07 + 4.9838648307600263e-07i
1.5647945871716951e-07 + 1.0047658907571353e-07i
-3.9140865370189006e-08 - 2.5132631964021186e-08i
-1.9514390315405238e-07 - 1.2530330772219024e-07i
-4.2763914643547331e-07 - 2.7459018034274510e-07i
-6.6024344103508355e-07 - 4.2394707560126190e-07i
-8.2707287159114889e-07 - 5.3106945624556972e-07i
-9.1040473682931876e-07 - 5.8457744795956531e-07i
1.4751692124214438e-06 + 9.4721679119241014e-07i
1.4580909174843068e-06 + 9.3625069483328381e-07i
1.3873810847916281e-06 + 8.9084740125520553e-07i
1.2486192243337202e-06 + 8.0174740981282564e-07i
1.0826594326892041e-06 + 6.9518343058603685e-07i
9.6001930594972908e-07 + 6.1643532064486466e-07i
8.7703393110136558e-07 + 5.6314981290927972e-07i
9.4352625167217516e-07 + 6.0584501153440357e-07i
1.0131449386839487e-06 + 6.5054767260072221e-07i
1.0338877521883602e-06 + 6.6386678276281903e-07i
9.9639174317953172e-07 + 6.3979032493222429e-07i
9.4430053467311848e-07 + 6.0634218423399661e-07i
8.9550136008396479e-07 + 5.7500788225833552e-07i
7.6117274979837201e-07 + 4.8875451272712055e-07i
5.4670113982069932e-07 + 3.5104074504928440e-07i
3.1228962196967718e-07 + 2.0052341870614994e-07i
1.2628258436957744e-07 + 8.1086958257270386e-08i
2.3270576714687753e-08 + 1.4942205151293910e-08i
-2.9475772095891743e-06 - 1.8926605861546668e-06i
-2.8478486768164331e-06 - 1.8286241759531195e-06i
-2.4395179300378070e-06 - 1.5664320582950188e-06i
-1.6617668251213453e-06 - 1.0670324641724806e-06i
-7.7617331381444891e-07 - 4.9838648307584424e-07i
-1.5647945871795315e-07 - 1.0047658907619264e-07i
9.6001930594965349e-07 + 6.1643532064484210e-07i
1.0826594326893966e-06 + 6.9518343058617471e-07i
1.2486192243340785e-06 + 8.0174740981306525e-07i
1.3873810847917226e-06 + 8.9084740125527996e-07i
1.4580909174843193e-06 + 9.3625069483329250e-07i
1.4751692124219418e-06 + 9.4721679119271105e-07i
-9.1040473682951866e-07 - 5.8457744795969914e-07i
-8.2707287159131999e-07 - 5.3106945624567920e-07i
-6.6024344103508218e-07 - 4.2394707560126852e-07i
-4.2763914643544011e-07 - 2.7459018034273054e-07i
-1.9514390315414412e-07 - 1.2530330772224715e-07i
-3.9140865370759734e-08 - 2.5132631964381278e-08i
8.9936042897779501e-20 + 3.5481768042113622e-20i
