#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,51
#number of ports,2
#S-port 1,in,not renormalized
#S-port 2,out,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
37,-53.1048121110225,-73.3507529262091,-0.10294859270506,-85.7124058325454,-0.10294859270506,-85.7124058325454,-51.8330861448399,-73.248497631772
38,-53.1501535984159,-77.8233853186578,-0.105597331495387,-88.0290590139881,-0.105597331495387,-88.0290590139881,-51.9753631772967,-77.4763542899156
39,-53.1978502269647,-82.4179234950072,-0.108241343079259,-90.3456977958737,-0.108241343079259,-90.3456977958737,-52.1259929974771,-81.8536215796868
40,-53.2455988699558,-87.1349308115161,-0.110880715834842,-92.6623219261361,-0.110880715834842,-92.6623219261361,-52.2830298733931,-86.3890937243032
41,-53.2909799052038,-91.9730823840481,-0.113515534017835,-94.978931127914,-0.113515534017835,-94.978931127914,-52.4441986873031,-91.0909181779063
42,-53.3314982988133,-96.9288317603813,-0.116145877768856,-97.295525100286,-0.116145877768856,-97.295525100286,-52.6068679232315,-95.966094875084
43,-53.3646417712715,-101.996118318344,-0.118771823067716,-99.6121035190922,-0.118771823067716,-99.6121035190922,-52.7680372367573,-101.019856992218
44,-53.3879556767095,-107.166153847902,-0.12139344165103,-101.928666037177,-0.12139344165103,-101.928666037177,-52.9243477313145,-106.254942070131
45,-53.3991319807166,-112.427329733374,-0.124010800786462,-104.245212284338,-0.124010800786462,-104.245212284338,-53.0721240327444,-111.670784514276
46,-53.396107250661,-117.765282889572,-0.126623962961246,-106.561741866979,-0.126623962961246,-106.561741866979,-53.2074569814408,-117.262691297923
47,-53.3771616271015,-123.163146523823,-0.129232985325043,-108.878254364686,-0.129232985325043,-108.878254364686,-53.3263332620307,-123.021090002359
48,-53.341009879938,-128.601990224284,-0.131837918971975,-111.194749352327,-0.131837918971975,-111.194749352327,-53.4248122842099,-128.930979142796
49,-53.2868734959094,-134.061444948129,-0.134438811067223,-113.511226374982,-0.134438811067223,-113.511226374982,-53.4992442600702,-134.971724948745
#50,-37.1202366448375,161.822797056659,-0.151505981761548,-115.896401908188,-0.151505981761548,-115.896401908188,-37.0406414261499,166.685083818632
#50,-38.8213281029558,164.670920290053,-0.149824535685076,-115.9418929142,-0.149824535685076,-115.9418929142,-38.6939426121922,167.997306964723
#50,-41.079837779318,176.319540134989,-0.147635976472218,-115.93130681486,-0.147635976472218,-115.93130681486,-41.5056531476153,162.492663782715
#50,-42.5120555560529,170.099158172475,-0.145413030192904,-115.914278291736,-0.145413030192904,-115.914278291736,-42.3724645317012,173.119483487042
#50,-45.7719546510358,179.473011609906,-0.142579414945269,-115.864835265924,-0.142579414945269,-115.864835265924,-46.1684777938074,171.041585934942
#50,-48.9518699201838,172.475690942972,-0.140365612002212,-115.843138733142,-0.140365612002212,-115.843138733142,-47.6342961077076,-169.540524407819
#50,-52.0714994661901,-170.297142800292,-0.137718199103223,-115.832566438927,-0.137718199103223,-115.832566438927,-50.2330323996227,-156.929763945494
#50,-54.4806840846056,-152.032413629728,-0.139167038575034,-115.83681550184,-0.139167038575034,-115.83681550184,-52.2475550276721,-141.09664078614
