#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,61
#number of ports,3
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#S-port 3,net3,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(3;1)),deg(S(3;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2)),dB(S(3;2)),deg(S(3;2)),dB(S(1;3)),deg(S(1;3)),dB(S(2;3)),deg(S(2;3)),dB(S(3;3)),deg(S(3;3))
11.5,-14.2786471682969,166.197944111732,-3.1751175745782,124.101470905608,-3.17599273958717,-55.9176315795014,-3.1751175745782,124.101470905608,-6.89495658205023,147.526016146078,-5.02781662380435,129.220931221272,-3.17599273958717,-55.9176315795014,-5.02781662380435,129.220931221272,-6.89289633841293,147.483321303208
11.6,-14.1126337647044,155.66190422913,-3.18169284259036,114.348920621434,-3.18255417060855,-65.66957265898,-3.18169284259036,114.348920621434,-6.92962002811204,138.051650450448,-4.99541107266674,119.531537833268,-3.18255417060855,-65.66957265898,-4.99541107266674,119.531537833268,-6.92757920831056,138.010160162961
11.7,-13.9497480515698,145.199991049151,-3.18840352024019,104.664827818794,-3.18925054950622,-75.353076418717,-3.18840352024019,104.664827818794,-6.96502284053304,128.636837143395,-4.962766365413,109.90883087278,-3.18925054950622,-75.353076418717,-4.962766365413,109.90883087278,-6.9630026051809,128.596516455875
11.8,-13.7898039360998,134.808750181627,-3.1952532806739,95.0458912478707,-3.19608552602522,-84.9714434157853,-3.1952532806739,95.0458912478707,-7.00118011856879,119.278307499401,-4.92988560716253,100.34950488907,-3.19608552602522,-84.9714434157853,-4.92988560716253,100.34950488907,-6.99918171330252,119.239123075175
11.9,-13.6326292021163,124.484969892707,-3.20224593547717,85.4890291775835,-3.203062901211,-94.5277548402492,-3.20224593547717,85.4890291775835,-7.03810711575783,109.972999479129,-4.89677206870441,90.8504703942975,-3.203062901211,-94.5277548402492,-4.89677206870441,90.8504703942975,-7.03613184334593,109.934919238129
12,-13.4780646523322,114.22565623122,-3.20938541410551,75.9913600447236,-3.2101866086103,-104.024891840702,-3.20938541410551,75.9913600447236,-7.07581934951191,100.718036918787,-4.86342915297936,81.4088346420493,-3.2101866086103,-104.024891840702,-4.86342915297936,81.4088346420493,-7.07386853671122,100.681029710005
12.1,-13.3259633554876,104.028010276717,-3.21667574136736,66.5501852036617,-3.21746069314836,-113.465552748256,-3.21667574136736,66.5501852036617,-7.11433273007109,91.5107104474472,-4.82986035726931,72.0218844586787,-3.21746069314836,-113.465552748256,-4.82986035726931,72.0218844586787,-7.11240768982192,91.4747457592569
12.2,-13.1761899646584,93.8894073387615,-3.22412101384938,57.1629734967542,-3.22488928850813,-122.852268479167,-3.22412101384938,57.1629734967542,-7.15366370627804,82.348459913209,-4.79606923236173,62.6870708459007,-3.22488928850813,-122.852268479167,-4.79606923236173,62.6870708459007,-7.15176569613294,82.3135076244212
12.3,-13.0286200791204,83.8073779815916,-3.23172537621902,47.8273474084751,-3.23247659389683,-132.187416353285,-3.23172537621902,47.8273474084751,-7.19382942506315,73.2288581438872,-4.76205934013555,53.401995116,-3.23247659389683,-132.187416353285,-4.76205934013555,53.401995116,-7.19195960280245,73.1948883189613
12.4,-12.8831396281829,73.7795907864871,-3.23949299837581,38.5410706018593,-3.24022685112451,-141.473232530226,-3.23949299837581,38.5410706018593,-7.23484790098107,64.1495959051843,-4.72783421107896,44.1643963565253,-3.24022685112451,-141.473232530226,-4.72783421107896,44.1643963565253,-7.23300727858554,64.1165786363583
12.5,-12.7396442604948,63.803836786883,-3.24742805440164,29.30203666605,-3.24814432291828,-150.711823234916,-3.24742805440164,29.30203666605,-7.27673819170393,55.1084679494486,-4.6933973033283,34.9721400518243,-3.24814432291828,-150.711823234916,-4.6933973033283,34.9721400518243,-7.27492758895513,55.0763732483252
