#Touchstone format,MA
#frequency unit,GHz
#number of frequencies,162
#number of ports,2
#S-port 1,net1,not renormalized
#S-port 2,net2,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),mag(S(1;1)),deg(S(1;1)),mag(S(2;1)),deg(S(2;1)),mag(S(1;2)),deg(S(1;2)),mag(S(2;2)),deg(S(2;2))
30,0.127896358217694,-127.568470391636,0.991788865388277,142.498739888202,0.991788865388277,142.498739888202,0.127894576609552,-127.415868803628
31,0.132480038106054,-134.958794771061,0.991187101751207,135.102658435338,0.991187101751207,135.102658435338,0.132478459521195,-134.815447507716
32,0.137077113371981,-142.362510788713,0.990561911225787,127.693056954769,0.990561911225787,127.693056954769,0.137075785469163,-142.228973762012
33,0.141684946862748,-149.78003154263,0.989913439581955,120.269628390353,0.989913439581955,120.269628390353,0.141683915243788,-149.656681281637
34,0.146300674753431,-157.211752340735,0.989241913381906,112.832075318048,0.989241913381906,112.832075318048,0.146299981829762,-157.098796902522
35,0.150921228967621,-164.658050216585,0.988547642429795,105.380109673354,0.988547642429795,105.380109673354,0.150920912831899,-164.555541124629
36,0.155543363962986,-172.119283597666,0.98783102089857,97.9134524325497,0.98783102089857,97.9134524325497,0.155543457265555,-172.027128677169
37,0.160163687661352,-179.595792146218,0.987092526977941,90.4318332599306,0.987092526977941,90.4318332599306,0.160164216539992,-179.513769074096
38,0.16477869626052,172.91210323303,0.986332720940549,82.9349901300201,0.986332720940549,82.9349901300201,0.164779679332712,172.984332847383
39,0.169384812532737,165.404100232409,0.985552241527284,75.4226689386787,0.985552241527284,75.4226689386787,0.169386259982281,165.466976419671
40,0.173978427112213,157.879914827014,0.984751800600067,67.8946231161852,0.984751800600067,67.8946231161852,0.173980339908221,157.933964694276
41,0.178555942241015,150.339280824152,0.98393217605258,60.3506132578738,0.98393217605258,60.3506132578738,0.178558311500102,150.385104052627
42,0.183113817261282,142.781949306719,0.983094203008816,52.7904067880754,0.983094203008816,52.7904067880754,0.183116623787316,142.82020389194
43,0.187648615121316,135.207687978596,0.982238763395941,45.2137776737573,0.982238763395941,45.2137776737573,0.187651829154135,135.239076402532
44,0.192157049113995,127.616280441348,0.981366774020395,37.6205062045493,0.981366774020395,37.6205062045493,0.192160630297704,127.641536442454
45,0.196636028929466,120.007525426321,0.980479173341332,30.0103788542539,0.980479173341332,30.0103788542539,0.196639926519976,120.027401524717
46,0.20108270515112,112.381236007765,0.979576907168881,22.3831882379592,0.979576907168881,22.3831882379592,0.201086858480889,112.396491913078
47,0.205494511236143,104.737238820065,0.978660913580208,14.7387331793899,0.978660913580208,14.7387331793899,0.205498850440808,104.748630846349
48,0.209869202046711,97.075373301099,0.977732107375052,7.07681889687067,0.977732107375052,7.07681889687067,0.209873649052551,97.0836448824808
49,0.214204887995271,89.3954909898721,0.976791364440083,-0.602742683310378,0.976791364440083,-0.602742683310378,0.21420935776379,89.4013643658271
50,0.218500063900091,81.6974548886516,0.975839506414927,-8.30013248039535,0.975839506414927,-8.30013248039535,0.218504465921634,81.7016240188805
