#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,81
#number of ports,2
#S-port 1,net1,50
#S-port 2,net2,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
3.8,-0.286815038641203,-37.6353740386482,-36.8092229932832,-127.151582150987,-36.8092229932832,-127.151582150987,-0.274596534445862,-38.71462147744
3.85,-0.271509823150598,-43.013376279639,-37.233304450099,-133.023178720282,-37.233304450099,-133.023178720282,-0.259668801788896,-43.9993367943356
3.9,-0.258586490833617,-48.0956052302724,-37.4083050083303,-138.42596236877,-37.4083050083303,-138.42596236877,-0.247208488361809,-48.9921513807145
3.95,-0.24746454651994,-52.9344669599646,-37.377076882349,-143.399999380971,-37.377076882349,-143.399999380971,-0.236551317310714,-53.7462562757237
#4,-0.437708347898012,-24.9170604485255,-35.3258985862205,-124.618046321004,-35.3258985862205,-124.618046321004,-0.418995518471054,-26.8487763197211
#4,-0.403167196084944,-52.8595062954707,-31.8074799132441,-141.394893007252,-31.8074799132441,-141.394893007252,-0.349086510421821,-51.1983574333733
#4,-0.382096569033763,-66.6549970947759,-35.2216886937796,-153.553846016394,-35.2216886937796,-153.553846016394,-0.321845595992042,-61.8770992341977
#4,-0.441482244649264,-81.034538205796,-38.3961487434299,-164.120352643961,-38.3961487434299,-164.120352643961,-0.338551607893285,-70.9326639491936
#4,-0.415501684763427,-87.3373488569142,-39.9432095986149,-171.301155462447,-39.9432095986149,-171.301155462447,-0.366155859534976,-80.6466856584367
#4,-0.344638480464863,-73.433526766647,-38.5657005783783,-164.797353924252,-38.5657005783783,-164.797353924252,-0.323777144598785,-79.0353378879771
#4,-0.323800499425107,-74.0382869581796,-38.5155417477286,-164.93021068375,-38.5155417477286,-164.93021068375,-0.280069098997136,-77.8383439355508
#4,-0.297057544749121,-77.0231923218963,-38.3151517802032,-166.360457313973,-38.3151517802032,-166.360457313973,-0.274912000843524,-77.8722199507945
#4,-0.279522816606175,-77.000244779548,-37.606926002634,-163.065912724032,-37.606926002634,-163.065912724032,-0.243944979455039,-70.8463054131603
#4,-0.265037658494365,-72.6446830380551,-37.1170528739514,-159.315169806147,-37.1170528739514,-159.315169806147,-0.234029121532304,-67.3782159071423
#4,-0.246376373759774,-67.3246639677525,-37.1234540898794,-156.948432339516,-37.1234540898794,-156.948432339516,-0.235762487775904,-67.5122180289085
4,-0.237791461234802,-57.5686986517021,-37.2049153945418,-148.030740610757,-37.2049153945418,-148.030740610757,-0.227320120164746,-58.3003526759039
4.05,-0.229315632986674,-62.0288105420274,-36.9483165837196,-152.398731867342,-36.9483165837196,-152.398731867342,-0.219255802683647,-62.6846694973145
4.1,-0.221845586875066,-66.3396597164982,-36.6483943662657,-156.567487732784,-36.6483943662657,-156.567487732784,-0.212165532653189,-66.9237194266015
4.15,-0.215230610883757,-70.5219595165262,-36.3322941822124,-160.583629497488,-36.3322941822124,-160.583629497488,-0.205899722111108,-71.0378760981461
4.2,-0.209349418560885,-74.5932756192803,-36.01658592468,-164.480620900029,-36.01658592468,-164.480620900029,-0.200339298672173,-75.0443988401267
4.25,-0.204102738107861,-78.5687320382307,-35.7104640350808,-168.282680709869,-35.7104640350808,-168.282680709869,-0.195387743260377,-78.9581522349419
4.3,-0.199408157298802,-82.4615376073415,-35.4181741606354,-172.007855317675,-35.4181741606354,-172.007855317675,-0.190965758872535,-82.7921419317537
4.35,-0.195196406168172,-86.2833964535586,-35.1406695006087,-175.670193408809,-35.1406695006087,-175.670193408809,-0.187007593635378,-86.5579347824761
4.4,-0.191408641784598,-90.0448438382246,-34.8766552360153,-179.281243857749,-34.8766552360153,-179.281243857749,-0.183458552276085,-90.2660086483121
4.45,-0.187994520152264,-93.7555384119453,-34.6231769604022,177.148873811548,-34.6231769604022,177.148873811548,-0.180273537665078,-93.9260672914571
4.5,-0.184911024092523,-97.4245389158788,-34.3758594887855,173.610607145793,-34.3758594887855,173.610607145793,-0.177416758444751,-97.547355183538
