#Touchstone format,DB
#frequency unit,GHz
#number of frequencies,81
#number of ports,2
#S-port 1,net1,50
#S-port 2,net2,50
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1)),dB(S(2;1)),deg(S(2;1)),dB(S(1;2)),deg(S(1;2)),dB(S(2;2)),deg(S(2;2))
2.55,-33.8128789720166,-76.1586566780587,-0.526797691149963,-85.9999314933733,-0.526797691149962,-85.9999314933733,-38.2164395758213,-70.606315846429
2.6,-32.9863899045246,-67.0598788909444,-0.541574231492237,-98.6069061472383,-0.541574231492239,-98.6069061472383,-36.2446354079362,-51.0374417536628
2.65,-32.605555545769,-69.2653693321058,-0.558804107833799,-111.26603444452,-0.558804107833799,-111.26603444452,-35.244179270945,-49.8607380864278
2.7,-33.8306874752758,-81.8326045289184,-0.578628534713117,-124.060145735941,-0.578628534713117,-124.060145735941,-36.9678458525601,-57.1896209739088
2.75,-37.6947424254503,-116.491848455035,-0.602243414206907,-137.079224583394,-0.602243414206912,-137.079224583395,-46.901983806816,-79.6357616877667
2.8,-36.4460712154034,156.505035233907,-0.632349614565946,-150.418619744205,-0.63234961456594,-150.418619744205,-37.7306836737257,115.581907177597
2.85,-28.8360232267057,115.220015853773,-0.672965176131433,-164.175656278522,-0.672965176131436,-164.175656278522,-28.6471801677897,99.4628733295183
2.9,-23.8015538648007,94.4493936125501,-0.728195826364505,-178.448447459661,-0.728195826364513,-178.448447459661,-23.6120040818733,85.7809024964844
2.95,-20.4638788786126,77.7574004334433,-0.799799406440373,166.655448029422,-0.799799406440369,166.655448029422,-20.3213357500859,72.0011840078876
#3,-11.5228177575033,64.0595026128509,-1.17672203458556,151.580252656148,-1.17672203458556,151.580252656148,-11.4398851949863,55.7594781989113
#3,-15.3629446181763,61.1682838494589,-0.964394696105906,149.915733065209,-0.964394696105903,149.915733065209,-15.3223682778937,54.2311320503785
#3,-17.2081944238812,41.2893142191056,-0.917160946903218,150.32537163297,-0.917160946903212,150.32537163297,-17.127827082678,77.0239684197749
#3,-19.8032456276855,60.6758594384386,-0.868553740230121,151.169624728856,-0.868553740230121,151.169624728856,-19.7029208006343,60.1367804132003
#3,-19.7196768571351,64.6681368577698,-0.869379641520918,151.381965130014,-0.869379641520919,151.381965130014,-19.7137505415334,56.5266542516296
